Title,Year,Link,Genre,link_review
The Shawshank Redemption,(1994),https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt,Drama,https://www.imdb.com/title/tt0111161/reviews?ref_=adv_li_tt
The Godfather,(1972),https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt,"Crime, Drama",https://www.imdb.com/title/tt0068646/reviews?ref_=adv_li_tt
Ramayana: The Legend of Prince Rama,(1993),https://www.imdb.com/title/tt0259534/?ref_=adv_li_tt,"Animation, Action, Adventure",https://www.imdb.com/title/tt0259534/reviews?ref_=adv_li_tt
The Chaos Class,(1975),https://www.imdb.com/title/tt0252487/?ref_=adv_li_tt,"Comedy, Drama",https://www.imdb.com/title/tt0252487/reviews?ref_=adv_li_tt
The Dark Knight,(2008),https://www.imdb.com/title/tt0468569/?ref_=adv_li_tt,"Action, Crime, Drama",https://www.imdb.com/title/tt0468569/reviews?ref_=adv_li_tt
Schindler's List,(1993),https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt,"Biography, Drama, History",https://www.imdb.com/title/tt0108052/reviews?ref_=adv_li_tt
The Godfather Part II,(1974),https://www.imdb.com/title/tt0071562/?ref_=adv_li_tt,"Crime, Drama",https://www.imdb.com/title/tt0071562/reviews?ref_=adv_li_tt
The Lord of the Rings: The Return of the King,(2003),https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt,"Action, Adventure, Drama",https://www.imdb.com/title/tt0167260/reviews?ref_=adv_li_tt
12 Angry Men,(1957),https://www.imdb.com/title/tt0050083/?ref_=adv_li_tt,"Crime, Drama",https://www.imdb.com/title/tt0050083/reviews?ref_=adv_li_tt
Mirror Game,(2016),https://www.imdb.com/title/tt5354160/?ref_=adv_li_tt,"Crime, Mystery, Thriller",https://www.imdb.com/title/tt5354160/reviews?ref_=adv_li_tt
Daman,(2022),https://www.imdb.com/title/tt17592606/?ref_=adv_li_tt,"Adventure, Drama",https://www.imdb.com/title/tt17592606/reviews?ref_=adv_li_tt
